GeneNames,value1,value2,log2FC,p-value
LOC_Os04g51630.2,55,37,0.571906348,0.004400481
LOC_Os11g06890.1,104,70,0.571156701,6.76E-05
LOC_Os02g12580.1,52,35,0.571156701,0.004965439
LOC_Os01g59510.1,46,31,0.569365646,0.008328158
LOC_Os02g48110.1,37,25,0.565597176,0.020956853
LOC_Os03g25940.4,145,98,0.565199246,2.94E-06
LOC_Os10g33800.2,170,115,0.563900885,4.63E-07
LOC_Os04g56530.1,34,23,0.563900885,0.032101564
LOC_Os05g51590.1,31,21,0.561878888,0.03585022
LOC_Os02g35470.1,59,40,0.560714954,0.003233388
LOC_Os03g02260.1,28,19,0.559427409,0.055290073
LOC_Os03g63480.1,50,34,0.556393349,0.008059915
LOC_Os08g33540.1,25,17,0.556393349,0.062156649
LOC_Os02g56180.1,23,16,0.523561956,0.077851693
LOC_Os01g37910.1,56,39,0.521952703,0.006967074
LOC_Os04g36760.1,53,37,0.518467089,0.007783582
LOC_Os10g08550.5,156,109,0.517217894,4.19E-06
LOC_Os04g57880.1,50,35,0.514573173,0.011641044
LOC_Os04g57890.1,30,21,0.514573173,0.048343868
LOC_Os01g46510.1,20,14,0.514573173,0.119933691
