rank,gene,log2fc,pvalue
518,GPER1,0.705649359,0.000388502
519,TBC1D19,0.709231305,1.25E-08
520,SLC47A1,0.709752168,0.094814257
521,CYP21A1P,0.710991878,0.172244189
522,LOC107987479,0.776367462,0.118520012
523,LINC01852,0.776722597,0.152963853
524,FAM110C,0.779181027,0.664760744
525,OSR2,0.782530487,6.90E-08
526,COLCA1,0.784868744,0.422050806
527,ATAT1,0.785941782,1.19E-06
528,DDIT4L,0.786765866,0.015477579
529,SNORA11F,0.789860646,0.658649784
530,FAM184A,0.794761247,0.190960026
531,EMC1-AS1,0.810011281,0.336271884
532,ZNF74,0.810031376,3.05E-06
533,NOXRED1,0.818779201,0.153368295
534,TP53TG3D,0.824780331,0.271578995
535,LOC103171574,0.836410477,0.083462426
536,SEC16B,0.840813179,0.35286465
537,MYO5C,0.843237223,0.620502067
538,SDC1,0.848625092,2.54E-13
539,KEL,0.863410043,0.189468016
540,SLC6A16,0.871850606,0.022733555
541,FAM111B,0.872192604,0.161212464
542,ASGR1,0.872894941,0.198416598
543,ANGPTL2,0.877137344,8.38E-11
544,BASP1-AS1,0.880210911,0.011051806
545,LINC02257,0.893922076,0.488895727
546,GPR153,0.899476919,2.24E-16
547,SLC2A12,0.918616699,7.29E-19
548,LOC100507291,0.930669957,0.019478987
549,SMIM10L2A,0.943392381,0.173455069
550,DDN-AS1,0.956461557,0.41845655
551,IGSF6,0.963482192,0.269291615
552,EGLN3,0.992367895,0.017304719
553,PCSK9,0.996571432,0.315732318
554,FDXR,1.005225957,4.65E-13
555,ARHGEF2,1.015709828,8.81E-30
556,IL6R-AS1,1.01619475,0.272540914
557,ANK2,1.016805681,6.05E-13
558,CYP2G1P,1.020969076,0.526757496
559,PPARGC1B,1.021318069,0.273417083
560,STOX2,1.022559183,0.000160923
561,KCTD16,1.043153006,0.00115607
562,PREX2,1.049796231,0.008165969
563,SH2D7,1.051689229,0.321650611
564,DACT3-AS1,1.061439399,0.270304022
565,PMEPA1,1.071336755,3.56E-08
566,INPP5J,1.073551923,0.290192669
567,NXPE2,1.079983299,0.383047402
568,RNU1-1,1.092502442,0.236861823
569,SNAI3,1.113007197,0.188347234
570,ADGRV1,1.134102801,0.490293471
571,SGCD,1.136970286,8.02E-24
572,ZNF135,1.148550078,2.34E-10
573,UPP1,1.16750377,1.29E-05
574,TMEM119,1.173067954,4.55E-27
575,ZC2HC1C,1.238253772,0.00071779
576,PER2,1.242676995,2.43E-05
577,CYP27C1,1.246602597,0.354130931
578,ANKRD33,1.253726919,0.392819748
579,FAM138E,1.30008525,0.080620572
580,FOXO6,1.319077398,0.083397334
581,CAMK4,1.323382857,5.55E-08
582,TENM4,1.384402177,7.74E-12
583,LRRIQ1,1.416323622,0.203428243
584,SAMD3,1.419668924,0.01025278
585,FAM13C,1.446320135,3.33E-08
586,LINC02544,1.46426169,0.400075613
587,LOC105371730,1.480425474,0.286558564
588,PKN2-AS1,1.497197465,0.373795603
589,SNCAIP,1.511246414,1.90E-05
590,IFIT1,1.664068143,3.37E-20
591,ROPN1L,1.791936435,0.111716695
592,LMO7DN-IT1,1.867290567,0.02143148
593,GDF1,1.914846791,0.012237959
594,FCRLA,1.997571543,0.240938803
595,MEX3A,2.09922979,4.19E-10
596,SIPA1L2,2.582690892,7.10E-22
597,NPC1L1,2.820007442,3.66E-06
598,ATP2B3,2.838944627,0.050693356
599,KCNS1,2.949728747,2.77E-09
600,CLDN1,3.096515894,0.026221632
601,RDM1P5,3.125069865,0.015388515
602,BEGAIN,3.312995805,0.003347634
603,LRRC25,3.492412624,5.00E-05
604,LOC91370,3.889819959,0.00847831
